,CBSA,POPESTIMATE,variable,value,age,sex,GEOID,NAME,INTPTLAT,INTPTLONG
94,10500,147773,AGE6064_MALE,4248,60-64,MALE,10500,"Albany, GA",31.644686,-84.110718
95,10500,147773,AGE6064_FEMALE,4984,60-64,FEMALE,10500,"Albany, GA",31.644686,-84.110718
96,10500,147773,AGE65PLUS_TOTAL,24781,65+,TOTAL,10500,"Albany, GA",31.644686,-84.110718
97,10500,147773,AGE65PLUS_MALE,10735,65+,MALE,10500,"Albany, GA",31.644686,-84.110718
98,10500,147773,AGE65PLUS_FEMALE,14046,65+,FEMALE,10500,"Albany, GA",31.644686,-84.110718
99,10540,129839,AGE1519_TOTAL,7647,15-19,TOTAL,10540,"Albany-Lebanon, OR",44.488898,-122.537208
100,10540,129839,AGE1519_MALE,3999,15-19,MALE,10540,"Albany-Lebanon, OR",44.488898,-122.537208
101,10540,129839,AGE1519_FEMALE,3648,15-19,FEMALE,10540,"Albany-Lebanon, OR",44.488898,-122.537208
102,10540,129839,AGE2024_TOTAL,7253,20-24,TOTAL,10540,"Albany-Lebanon, OR",44.488898,-122.537208
103,10540,129839,AGE2024_MALE,3619,20-24,MALE,10540,"Albany-Lebanon, OR",44.488898,-122.537208
104,10540,129839,AGE2024_FEMALE,3634,20-24,FEMALE,10540,"Albany-Lebanon, OR",44.488898,-122.537208
105,10540,129839,AGE2529_TOTAL,8673,25-29,TOTAL,10540,"Albany-Lebanon, OR",44.488898,-122.537208
106,10540,129839,AGE2529_MALE,4392,25-29,MALE,10540,"Albany-Lebanon, OR",44.488898,-122.537208
107,10540,129839,AGE2529_FEMALE,4281,25-29,FEMALE,10540,"Albany-Lebanon, OR",44.488898,-122.537208
108,10540,129839,AGE3034_TOTAL,9066,30-34,TOTAL,10540,"Albany-Lebanon, OR",44.488898,-122.537208
109,10540,129839,AGE3034_MALE,4515,30-34,MALE,10540,"Albany-Lebanon, OR",44.488898,-122.537208
110,10540,129839,AGE3034_FEMALE,4551,30-34,FEMALE,10540,"Albany-Lebanon, OR",44.488898,-122.537208
111,10540,129839,AGE3539_TOTAL,8667,35-39,TOTAL,10540,"Albany-Lebanon, OR",44.488898,-122.537208
112,10540,129839,AGE3539_MALE,4362,35-39,MALE,10540,"Albany-Lebanon, OR",44.488898,-122.537208
113,10540,129839,AGE3539_FEMALE,4305,35-39,FEMALE,10540,"Albany-Lebanon, OR",44.488898,-122.537208
114,10540,129839,AGE4044_TOTAL,7853,40-44,TOTAL,10540,"Albany-Lebanon, OR",44.488898,-122.537208
115,10540,129839,AGE4044_MALE,3938,40-44,MALE,10540,"Albany-Lebanon, OR",44.488898,-122.537208
116,10540,129839,AGE4044_FEMALE,3915,40-44,FEMALE,10540,"Albany-Lebanon, OR",44.488898,-122.537208
117,10540,129839,AGE4549_TOTAL,7225,45-49,TOTAL,10540,"Albany-Lebanon, OR",44.488898,-122.537208
118,10540,129839,AGE4549_MALE,3659,45-49,MALE,10540,"Albany-Lebanon, OR",44.488898,-122.537208
119,10540,129839,AGE4549_FEMALE,3566,45-49,FEMALE,10540,"Albany-Lebanon, OR",44.488898,-122.537208
120,10540,129839,AGE5054_TOTAL,7705,50-54,TOTAL,10540,"Albany-Lebanon, OR",44.488898,-122.537208
121,10540,129839,AGE5054_MALE,3909,50-54,MALE,10540,"Albany-Lebanon, OR",44.488898,-122.537208
122,10540,129839,AGE5054_FEMALE,3796,50-54,FEMALE,10540,"Albany-Lebanon, OR",44.488898,-122.537208
123,10540,129839,AGE5559_TOTAL,8255,55-59,TOTAL,10540,"Albany-Lebanon, OR",44.488898,-122.537208
124,10540,129839,AGE5559_MALE,4051,55-59,MALE,10540,"Albany-Lebanon, OR",44.488898,-122.537208
125,10540,129839,AGE5559_FEMALE,4204,55-59,FEMALE,10540,"Albany-Lebanon, OR",44.488898,-122.537208
126,10540,129839,AGE6064_TOTAL,8695,60-64,TOTAL,10540,"Albany-Lebanon, OR",44.488898,-122.537208
127,10540,129839,AGE6064_MALE,4225,60-64,MALE,10540,"Albany-Lebanon, OR",44.488898,-122.537208
128,10540,129839,AGE6064_FEMALE,4470,60-64,FEMALE,10540,"Albany-Lebanon, OR",44.488898,-122.537208
