,USPS,NAME,INTPTLAT,INTPTLONG,POPESTIMATE
171,AR,Pulaski County,34.770311,-92.312996,397821
172,AR,Randolph County,36.341298,-91.028441,18865
173,AR,St. Francis County,35.022838,-90.751506,22739
174,AR,Saline County,34.648525,-92.674463,125233
175,AR,Scott County,34.858869,-94.063641,9822
176,AR,Searcy County,35.896387,-92.695888,7880
177,AR,Sebastian County,35.196981,-94.274989,128400
178,AR,Sevier County,33.994877,-94.243279,15783
179,AR,Sharp County,36.173399,-91.471069,17622
180,AR,Stone County,35.857001,-92.140482,12481
181,AR,Union County,33.168219,-92.598145,38340
182,AR,Van Buren County,35.582953,-92.515976,15694
183,AR,Washington County,35.978001,-94.217269,250057
184,AR,White County,35.255118,-91.753034,77207
185,AR,Woodruff County,35.192777,-91.244535,6116
186,AR,Yell County,34.997713,-93.408303,20155
187,CA,Alameda County,37.647139,-121.912488,1648556
188,CA,Alpine County,38.621783,-119.798352,1235
189,CA,Amador County,38.443549,-120.653858,41259
190,CA,Butte County,39.665336,-121.603209,208309
191,CA,Calaveras County,38.191068,-120.554107,46221
192,CA,Colusa County,39.177739,-122.237563,21917
193,CA,Contra Costa County,37.919479,-121.951543,1161413
194,CA,Del Norte County,41.749903,-123.980998,28100
195,CA,El Dorado County,38.785612,-120.534225,193221
196,CA,Fresno County,36.761006,-119.655019,1013581
197,CA,Glenn County,39.602546,-122.4017,28805
198,CA,Humboldt County,40.706655,-123.926176,136310
199,CA,Imperial County,33.040814,-115.3554,179851
200,CA,Inyo County,36.56216,-117.404209,18970
201,CA,Kern County,35.346629,-118.729506,917673
202,CA,Kings County,36.072478,-119.81553,153443
203,CA,Lake County,39.094802,-122.746757,68766
204,CA,Lassen County,40.715287,-120.621223,33159
205,CA,Los Angeles County,34.196398,-118.261862,9829544
206,CA,Madera County,37.209821,-119.749802,159410
207,CA,Marin County,38.051367,-122.746396,260206
208,CA,Mariposa County,37.574343,-119.911721,17147
209,CA,Mendocino County,39.432388,-123.442881,91305
210,CA,Merced County,37.194806,-120.722802,286461
211,CA,Modoc County,41.592918,-120.71837,8661
212,CA,Mono County,37.915836,-118.875167,13247
213,CA,Monterey County,36.240104,-121.315578,437325
214,CA,Napa County,38.5071,-122.325904,136207
215,CA,Nevada County,39.297508,-120.771343,103487
216,CA,Orange County,33.675687,-117.777207,3167809
217,CA,Placer County,39.062032,-120.722718,412300
218,CA,Plumas County,39.992295,-120.824371,19915
219,CA,Riverside County,33.729828,-116.002239,2458395
220,CA,Sacramento County,38.450136,-121.344329,1588921
221,CA,San Benito County,36.611651,-121.085811,66677
222,CA,San Bernardino County,34.856661,-116.181571,2194710
223,CA,San Diego County,33.023604,-116.776117,3286069
224,CA,San Francisco County,37.727239,-123.032229,815201
225,CA,San Joaquin County,37.934982,-121.272244,789410
226,CA,San Luis Obispo County,35.388189,-120.448897,283159
227,CA,San Mateo County,37.414672,-122.371546,737888
228,CA,Santa Barbara County,34.536677,-120.038364,446475
229,CA,Santa Clara County,37.221614,-121.68954,1885508
230,CA,Santa Cruz County,37.012347,-122.007789,267792
231,CA,Shasta County,40.760514,-122.043556,182139
232,CA,Sierra County,39.576925,-120.521993,3283
233,CA,Siskiyou County,41.587986,-122.533287,44118
234,CA,Solano County,38.267226,-121.939594,451716
235,CA,Sonoma County,38.525182,-122.92611,485887
236,CA,Stanislaus County,37.562316,-121.002831,552999
237,CA,Sutter County,39.03619,-121.70394,99063
238,CA,Tehama County,40.126157,-122.232274,65498
239,CA,Trinity County,40.647858,-123.114666,16060
240,CA,Tulare County,36.228834,-118.781055,477054
241,CA,Tuolumne County,38.021434,-119.964733,55810
242,CA,Ventura County,34.358748,-119.133145,839784
243,CA,Yolo County,38.679609,-121.90275,216986
244,CA,Yuba County,39.27013,-121.344259,83421
245,CO,Adams County,39.874325,-104.331872,522140
246,CO,Alamosa County,37.568442,-105.788041,16547
247,CO,Arapahoe County,39.644554,-104.331706,654900
248,CO,Archuleta County,37.202395,-107.050863,13790
249,CO,Baca County,37.30978,-102.543741,3514
250,CO,Bent County,37.931891,-103.077584,5759
251,CO,Boulder County,40.094962,-105.397704,329543
252,CO,Broomfield County,39.953593,-105.050787,75325
253,CO,Chaffee County,38.734599,-106.300025,20074
254,CO,Cheyenne County,38.835646,-102.601791,1707
255,CO,Clear Creek County,39.689403,-105.670783,9446
256,CO,Conejos County,37.213406,-106.176447,7612
257,CO,Costilla County,37.277547,-105.42894,3625
