,CBSA,AGE,FEMALE,MALE,TOTAL,NAME,INTPTLAT,INTPTLONG,POPESTIMATE
115,10620,40-44,1762,1824,3586,"Albemarle, NC",35.310449,-80.254374,63425
116,10620,45-49,1774,1894,3668,"Albemarle, NC",35.310449,-80.254374,63425
117,10620,50-54,2140,2162,4302,"Albemarle, NC",35.310449,-80.254374,63425
118,10620,55-59,2229,2376,4605,"Albemarle, NC",35.310449,-80.254374,63425
119,10620,60-64,2166,2103,4269,"Albemarle, NC",35.310449,-80.254374,63425
120,10620,65+,6647,5560,12207,"Albemarle, NC",35.310449,-80.254374,63425
121,10660,15-19,913,989,1902,"Albert Lea, MN",43.674202,-93.350289,30749
122,10660,20-24,747,767,1514,"Albert Lea, MN",43.674202,-93.350289,30749
123,10660,25-29,847,816,1663,"Albert Lea, MN",43.674202,-93.350289,30749
124,10660,30-34,846,847,1693,"Albert Lea, MN",43.674202,-93.350289,30749
125,10660,35-39,902,946,1848,"Albert Lea, MN",43.674202,-93.350289,30749
126,10660,40-44,801,910,1711,"Albert Lea, MN",43.674202,-93.350289,30749
127,10660,45-49,779,830,1609,"Albert Lea, MN",43.674202,-93.350289,30749
128,10660,50-54,821,875,1696,"Albert Lea, MN",43.674202,-93.350289,30749
129,10660,55-59,1073,1088,2161,"Albert Lea, MN",43.674202,-93.350289,30749
130,10660,60-64,1181,1260,2441,"Albert Lea, MN",43.674202,-93.350289,30749
131,10660,65+,3770,3240,7010,"Albert Lea, MN",43.674202,-93.350289,30749
132,10700,15-19,3247,3391,6638,"Albertville, AL",34.309564,-86.321668,98228
133,10700,20-24,2658,2879,5537,"Albertville, AL",34.309564,-86.321668,98228
134,10700,25-29,2872,3000,5872,"Albertville, AL",34.309564,-86.321668,98228
135,10700,30-34,3010,3026,6036,"Albertville, AL",34.309564,-86.321668,98228
136,10700,35-39,2892,2979,5871,"Albertville, AL",34.309564,-86.321668,98228
137,10700,40-44,2817,2883,5700,"Albertville, AL",34.309564,-86.321668,98228
138,10700,45-49,2897,2823,5720,"Albertville, AL",34.309564,-86.321668,98228
139,10700,50-54,3089,3282,6371,"Albertville, AL",34.309564,-86.321668,98228
140,10700,55-59,3257,3168,6425,"Albertville, AL",34.309564,-86.321668,98228
141,10700,60-64,3252,3169,6421,"Albertville, AL",34.309564,-86.321668,98228
142,10700,65+,9465,7429,16894,"Albertville, AL",34.309564,-86.321668,98228
143,10740,15-19,28983,30144,59127,"Albuquerque, NM",35.123496,-106.458392,918259
144,10740,20-24,28018,29125,57143,"Albuquerque, NM",35.123496,-106.458392,918259
145,10740,25-29,30499,31806,62305,"Albuquerque, NM",35.123496,-106.458392,918259
146,10740,30-34,32231,33281,65512,"Albuquerque, NM",35.123496,-106.458392,918259
147,10740,35-39,32070,32983,65053,"Albuquerque, NM",35.123496,-106.458392,918259
148,10740,40-44,29210,29785,58995,"Albuquerque, NM",35.123496,-106.458392,918259
149,10740,45-49,26675,26770,53445,"Albuquerque, NM",35.123496,-106.458392,918259
150,10740,50-54,27503,27010,54513,"Albuquerque, NM",35.123496,-106.458392,918259
151,10740,55-59,29911,28499,58410,"Albuquerque, NM",35.123496,-106.458392,918259
152,10740,60-64,31450,28851,60301,"Albuquerque, NM",35.123496,-106.458392,918259
153,10740,65+,89719,73943,163662,"Albuquerque, NM",35.123496,-106.458392,918259
154,10760,15-19,1307,1374,2681,"Alexander City, AL",32.900486,-86.002932,51473
155,10760,20-24,1312,1345,2657,"Alexander City, AL",32.900486,-86.002932,51473
156,10760,25-29,1423,1487,2910,"Alexander City, AL",32.900486,-86.002932,51473
157,10760,30-34,1473,1439,2912,"Alexander City, AL",32.900486,-86.002932,51473
158,10760,35-39,1354,1231,2585,"Alexander City, AL",32.900486,-86.002932,51473
159,10760,40-44,1384,1312,2696,"Alexander City, AL",32.900486,-86.002932,51473
160,10760,45-49,1572,1383,2955,"Alexander City, AL",32.900486,-86.002932,51473
161,10760,50-54,1888,1760,3648,"Alexander City, AL",32.900486,-86.002932,51473
162,10760,55-59,1989,1995,3984,"Alexander City, AL",32.900486,-86.002932,51473
163,10760,60-64,2177,2068,4245,"Alexander City, AL",32.900486,-86.002932,51473
164,10760,65+,6272,5649,11921,"Alexander City, AL",32.900486,-86.002932,51473
165,10780,15-19,4700,5093,9793,"Alexandria, LA",31.325348,-92.546803,150890
166,10780,20-24,4448,4700,9148,"Alexandria, LA",31.325348,-92.546803,150890
167,10780,25-29,4590,5389,9979,"Alexandria, LA",31.325348,-92.546803,150890
168,10780,30-34,4796,5423,10219,"Alexandria, LA",31.325348,-92.546803,150890
169,10780,35-39,4798,5262,10060,"Alexandria, LA",31.325348,-92.546803,150890
170,10780,40-44,4690,4793,9483,"Alexandria, LA",31.325348,-92.546803,150890
171,10780,45-49,4243,4190,8433,"Alexandria, LA",31.325348,-92.546803,150890
172,10780,50-54,4542,4338,8880,"Alexandria, LA",31.325348,-92.546803,150890
173,10780,55-59,5106,4658,9764,"Alexandria, LA",31.325348,-92.546803,150890
174,10780,60-64,4985,4726,9711,"Alexandria, LA",31.325348,-92.546803,150890
175,10780,65+,14142,11138,25280,"Alexandria, LA",31.325348,-92.546803,150890
176,10820,15-19,1080,1200,2280,"Alexandria, MN",45.936835,-95.462155,39238
177,10820,20-24,898,1010,1908,"Alexandria, MN",45.936835,-95.462155,39238
178,10820,25-29,987,1075,2062,"Alexandria, MN",45.936835,-95.462155,39238
179,10820,30-34,1049,1132,2181,"Alexandria, MN",45.936835,-95.462155,39238
180,10820,35-39,1168,1281,2449,"Alexandria, MN",45.936835,-95.462155,39238
181,10820,40-44,1087,1177,2264,"Alexandria, MN",45.936835,-95.462155,39238
182,10820,45-49,972,989,1961,"Alexandria, MN",45.936835,-95.462155,39238
183,10820,50-54,1100,1121,2221,"Alexandria, MN",45.936835,-95.462155,39238
184,10820,55-59,1324,1332,2656,"Alexandria, MN",45.936835,-95.462155,39238
185,10820,60-64,1587,1530,3117,"Alexandria, MN",45.936835,-95.462155,39238
186,10820,65+,4779,4376,9155,"Alexandria, MN",45.936835,-95.462155,39238
187,10860,15-19,1656,1904,3560,"Alice, TX",27.697743,-98.390881,48603
188,10860,20-24,1494,1684,3178,"Alice, TX",27.697743,-98.390881,48603
189,10860,25-29,1455,1573,3028,"Alice, TX",27.697743,-98.390881,48603
190,10860,30-34,1518,1591,3109,"Alice, TX",27.697743,-98.390881,48603
191,10860,35-39,1528,1626,3154,"Alice, TX",27.697743,-98.390881,48603
192,10860,40-44,1434,1521,2955,"Alice, TX",27.697743,-98.390881,48603
193,10860,45-49,1328,1362,2690,"Alice, TX",27.697743,-98.390881,48603
